Timestamp,Value
1709094355284 ,-94.0
1709094355298 ,-111.0
1709094355315 ,-104.0
1709094355326 ,-160.0
1709094355342 ,-67.0
1709094355361 ,-80.0
1709094355377 ,-100.0
1709094355393 ,-105.0
1709094355411 ,-101.0
1709094355435 ,-107.0
1709094355444 ,-113.0
1709094355462 ,-115.0
1709094355477 ,-115.0
1709094355494 ,-125.0
1709094355513 ,-115.0
1709094355527 ,-123.0
1709094355552 ,-119.0
1709094355584 ,-121.0
1709094355594 ,-120.0
1709094355614 ,-160.0
1709094355629 ,-117.0
1709094355645 ,-117.0
1709094355663 ,-116.0
1709094355678 ,-120.0
1709094355694 ,-124.0
1709094355711 ,-117.0
1709094355736 ,-120.0
1709094355745 ,-115.0
1709094355767 ,-114.0
1709094355778 ,-123.0
1709094355796 ,-127.0
1709094355813 ,-116.0
1709094355828 ,-118.0
1709094355845 ,-118.0
1709094355862 ,-119.0
1709094355879 ,-119.0
1709094355896 ,-117.0
1709094355923 ,-19.0
1709094355989 ,-9.0
1709094356021 ,-6.0
1709094356032 ,-160.0
1709094356054 ,-7.0
1709094356065 ,-10.0
1709094356119 ,-2.0
1709094356133 ,-14.0
1709094356152 ,-22.0
1709094356163 ,-30.0
1709094356179 ,-38.0
1709094356198 ,-43.0
1709094356214 ,-46.0
1709094356230 ,-48.0
1709094356247 ,-58.0
1709094356272 ,-61.0
1709094356280 ,-65.0
1709094356300 ,-67.0
1709094356314 ,-72.0
1709094356331 ,-68.0
1709094356349 ,-72.0
1709094356365 ,-77.0
1709094356381 ,-81.0
1709094356397 ,-83.0
1709094356423 ,-92.0
1709094356432 ,-160.0
1709094356452 ,-92.0
1709094356464 ,-95.0
1709094356483 ,-104.0
1709094356499 ,-105.0
1709094356515 ,-106.0
1709094356532 ,-103.0
1709094356548 ,-109.0
1709094356565 ,-106.0
1709094356582 ,-108.0
1709094356607 ,-113.0
1709094356639 ,-114.0
1709094356648 ,-124.0
1709094356669 ,-111.0
1709094356682 ,-104.0
1709094356700 ,-107.0
1709094356716 ,-116.0
1709094356732 ,-120.0
1709094356749 ,-115.0
1709094356766 ,-116.0
1709094356783 ,-115.0
1709094356803 ,-116.0
1709094356816 ,-92.0
1709094356832 ,-102.0
1709094356850 ,-110.0
1709094356875 ,-111.0
,
