Timestamp,Value
1709098981062 ,-160
1709098981071 ,-160
1709098981084 ,-160
1709098981101 ,-160
1709098981119 ,-160
1709098981135 ,-160
1709098981152 ,-160
1709098981169 ,-160
1709098981187 ,-160
1709098981203 ,-160
1709098981219 ,-160
1709098981237 ,-142
1709098981254 ,-137
1709098981269 ,-138
1709098981286 ,-131
1709098981303 ,-139
1709098981321 ,-139
1709098981336 ,-135
1709098981352 ,-134
1709098981369 ,-128
1709098981386 ,-129
1709098981401 ,-126
1709098981419 ,-130
1709098981435 ,-128
1709098981453 ,-130
1709098981468 ,-127
1709098981486 ,-130
1709098981502 ,-129
1709098981520 ,-127
1709098981536 ,-129
1709098981553 ,-130
1709098981570 ,-126
1709098981586 ,-127
1709098981603 ,-129
1709098981620 ,-132
1709098981636 ,-131
1709098981654 ,-125
1709098981670 ,-125
1709098981687 ,-125
1709098981703 ,-128
1709098981721 ,-129
1709098981737 ,-122
1709098981754 ,-124
1709098981770 ,-128
1709098981787 ,-121
1709098981804 ,-133
1709098981823 ,-130
1709098981840 ,-131
1709098981857 ,-125
1709098981872 ,-123
1709098981889 ,-127
1709098981906 ,-130
1709098981924 ,-129
1709098981940 ,-127
1709098981956 ,-130
1709098981972 ,-125
1709098981991 ,-126
1709098982006 ,-128
1709098982022 ,-120
1709098982040 ,-124
1709098982057 ,-125
1709098982073 ,-125
1709098982089 ,-124
1709098982107 ,-117
1709098982124 ,-128
1709098982140 ,-128
1709098982174 ,-52
1709098982192 ,-61
1709098982207 ,-64
1709098982224 ,-71
1709098982241 ,-81
1709098982259 ,-88
1709098982273 ,-84
1709098982291 ,-92
1709098982308 ,-100
1709098982324 ,-103
1709098982341 ,-100
1709098982358 ,-108
1709098982374 ,-110
1709098982392 ,-114
1709098982408 ,-112
1709098982424 ,-118
1709098982441 ,-115
1709098982459 ,-122
1709098982474 ,-125
1709098982491 ,-123
1709098982507 ,-123
1709098982525 ,-123
1709098982541 ,-121
1709098982558 ,-123
1709098982575 ,-134
1709098982593 ,-127
1709098982609 ,-129
1709098982625 ,-128
1709098982642 ,-124
1709098982659 ,-119
1709098982675 ,-128
1709098982692 ,-29
1709098982708 ,-89
1709098982726 ,-25
1709098982744 ,-1
1709098982757 ,-60
1709098982774 ,-76
1709098982792 ,-78
1709098982808 ,-81
1709098982825 ,-87
1709098982844 ,-97
1709098982859 ,-101
1709098982875 ,-110
1709098982892 ,-103
1709098982909 ,-113
1709098982927 ,-116
1709098982943 ,-117
1709098982959 ,-118
1709098982975 ,-127
1709098982992 ,-124
1709098983009 ,-122
1709098983026 ,-127
1709098983042 ,-130
1709098983061 ,-129
1709098983077 ,-125
1709098983094 ,-127
1709098983111 ,-129
1709098983128 ,-126
1709098983143 ,-122
1709098983158 ,-121
1709098983176 ,-129
1709098983194 ,-129
1709098983209 ,-128
1709098983227 ,-127
1709098983243 ,-97
1709098983261 ,-125
1709098983277 ,-116
1709098983295 ,-1
1709098983310 ,-34
1709098983328 ,-56
1709098983344 ,-58
1709098983360 ,-66
1709098983377 ,-72
1709098983395 ,-77
1709098983411 ,-79
1709098983428 ,-92
1709098983444 ,-95
1709098983462 ,-96
1709098983478 ,-99
1709098983495 ,-108
1709098983511 ,-105
1709098983529 ,-109
1709098983544 ,-110
1709098983561 ,-114
1709098983578 ,-116
1709098983596 ,-115
1709098983612 ,-116
1709098983628 ,-119
1709098983645 ,-116
1709098983663 ,-118
1709098983679 ,-122
1709098983695 ,-124
1709098983711 ,-125
1709098983729 ,-125
1709098983745 ,-124
